2026-07-11 22:01:20 INFO    src.backtest.engine | fvg_scalp: 57 trades, 8 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:20 INFO    src.validation.walk_forward | grid 35/48 {'min_gap_points': 50.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 57 trades, net $-406
2026-07-11 22:01:23 INFO    src.backtest.engine | fvg_scalp: 43 trades, 6 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:23 INFO    src.validation.walk_forward | grid 36/48 {'min_gap_points': 50.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 43 trades, net $-672
2026-07-11 22:01:27 INFO    src.backtest.engine | fvg_scalp: 50 trades, 8 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:27 INFO    src.validation.walk_forward | grid 37/48 {'min_gap_points': 50.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 50 trades, net $57
2026-07-11 22:01:31 INFO    src.backtest.engine | fvg_scalp: 37 trades, 6 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:31 INFO    src.validation.walk_forward | grid 38/48 {'min_gap_points': 50.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 37 trades, net $-446
2026-07-11 22:01:34 INFO    src.backtest.engine | fvg_scalp: 57 trades, 8 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:35 INFO    src.validation.walk_forward | grid 39/48 {'min_gap_points': 50.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 57 trades, net $-418
2026-07-11 22:01:38 INFO    src.backtest.engine | fvg_scalp: 43 trades, 6 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:38 INFO    src.validation.walk_forward | grid 40/48 {'min_gap_points': 50.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 43 trades, net $-853
2026-07-11 22:01:42 INFO    src.backtest.engine | fvg_scalp: 50 trades, 8 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:42 INFO    src.validation.walk_forward | grid 41/48 {'min_gap_points': 50.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 50 trades, net $-211
2026-07-11 22:01:46 INFO    src.backtest.engine | fvg_scalp: 37 trades, 6 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:46 INFO    src.validation.walk_forward | grid 42/48 {'min_gap_points': 50.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 37 trades, net $-546
2026-07-11 22:01:49 INFO    src.backtest.engine | fvg_scalp: 57 trades, 8 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:49 INFO    src.validation.walk_forward | grid 43/48 {'min_gap_points': 50.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 57 trades, net $-406
2026-07-11 22:01:53 INFO    src.backtest.engine | fvg_scalp: 43 trades, 6 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:53 INFO    src.validation.walk_forward | grid 44/48 {'min_gap_points': 50.0, 'min_stop_points': 20.0, 'target_r': 1.0, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 43 trades, net $-672
2026-07-11 22:01:56 INFO    src.backtest.engine | fvg_scalp: 50 trades, 8 ambiguous bars, 0 forced session-end exits
2026-07-11 22:01:57 INFO    src.validation.walk_forward | grid 45/48 {'min_gap_points': 50.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 50 trades, net $57
2026-07-11 22:02:00 INFO    src.backtest.engine | fvg_scalp: 37 trades, 6 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:00 INFO    src.validation.walk_forward | grid 46/48 {'min_gap_points': 50.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 20, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 37 trades, net $-446
2026-07-11 22:02:04 INFO    src.backtest.engine | fvg_scalp: 57 trades, 8 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:04 INFO    src.validation.walk_forward | grid 47/48 {'min_gap_points': 50.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 57 trades, net $-418
2026-07-11 22:02:08 INFO    src.backtest.engine | fvg_scalp: 43 trades, 6 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:08 INFO    src.validation.walk_forward | grid 48/48 {'min_gap_points': 50.0, 'min_stop_points': 20.0, 'target_r': 1.5, 'expire_minutes': 40, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 43 trades, net $-853
2026-07-11 22:02:08 INFO    run_phase15 | mnq/mnq_fvg_1m done: OOS 314 trades net $-1662 amb=21.0% fold+=33% pass=0.1%
2026-07-11 22:02:08 INFO    run_phase15 | === Phase 15 mnq/mnq_fvg_3m (32 combos, 3m) ===
2026-07-11 22:02:11 INFO    src.backtest.engine | fvg_scalp: 492 trades, 60 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:11 INFO    src.validation.walk_forward | grid 1/32 {'min_gap_points': 30.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 30, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 492 trades, net $-2922
2026-07-11 22:02:13 INFO    src.backtest.engine | fvg_scalp: 392 trades, 45 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:13 INFO    src.validation.walk_forward | grid 2/32 {'min_gap_points': 30.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 30, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 392 trades, net $-3268
2026-07-11 22:02:15 INFO    src.backtest.engine | fvg_scalp: 575 trades, 63 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:15 INFO    src.validation.walk_forward | grid 3/32 {'min_gap_points': 30.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 60, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 575 trades, net $-3009
2026-07-11 22:02:17 INFO    src.backtest.engine | fvg_scalp: 462 trades, 46 ambiguous bars, 0 forced session-end exits
